_id,chat_row_id,from_me,key_id,sender_jid_row_id,status,broadcast,recipient_count,participant_hash,origination_flags,origin,timestamp,received_timestamp,receipt_server_timestamp,message_type,text_data,starred,lookup_tables,message_add_on_flags,sort_id
1,-1,0,-1,,,,,,,,,,-1,,,,,,0
6,2,1,0FEE612AE952EC42E53CAC00F9404BE2,0,6,0,0,,0,0,1675377743572,0,-1,7,,0,0,0,6
7,2,1,9DF68ABCDE8A4F2491EFD3FA45DB4570,0,13,0,0,,0,0,1675377743458,0,1675377744000,0,Hello,0,0,0,7
8,2,1,F492568F71865D8BAA17B8890AF9BD05,0,13,0,0,,0,0,1675377748397,0,1675377748000,0,"How are you",0,0,0,8
9,2,1,37A37226A63F784DA94A1FD8AE87A8B8,0,13,0,0,,0,0,1675377758194,0,1675377758000,0,"I am conducting testing",0,0,0,9
10,2,1,536D31DF09B5098753854BA98050DCDC,0,13,0,0,,0,0,1675377765624,0,1675377765000,0,"what about you",0,0,0,10
11,2,0,3A73E6F90F654E9F6DC0,0,0,0,0,,0,0,1675434749000,1675434749676,-1,0,"That is cool",0,0,0,11
12,2,0,3A48C22A1043B23C2EA3,0,0,0,0,,0,0,1675434757000,1675434757339,-1,0,"How is it going",0,0,0,12
13,2,1,26377B16F78D877B0EE67BA61B94DC9B,0,13,0,0,,0,0,1675467009985,0,1675467010000,0,"you are really weird",0,0,0,13
14,2,0,3A35DCF2E7837AFDA6AE,0,0,0,0,,0,0,1675467033000,1675467039275,-1,15,,0,0,0,14
15,2,1,B500E7B5FB0C17FE19C0A6206E9E78F5,0,13,0,0,,0,0,1680360556918,0,1680360557000,0,"This is further testing.",0,0,0,15
16,2,0,3A314B33DCFD97C0CFE9,0,0,0,0,,0,0,1680360587000,1680360587514,-1,0,"hello. thank you for letting me know",0,0,0,16
17,2,1,9E6AACD662167C0E1A3C1C2998715C13,0,13,0,0,,0,1,1680360597334,1680360600591,1680360601000,1,,0,0,0,17
18,2,0,3A51D90E2D877BF100F5,0,0,0,0,,0,0,1680360612000,1680360613081,-1,0,"nice pic",0,0,0,18
